Fecha;TCC;TCV;TCPP;Compra oficial;Venta oficial;
19-feb-10;7,0298;7,0761;7,0562;6,97;7,07;
20-feb-10;7,0171;7,0797;7,0482;6,97;7,07;
21-feb-10;6,9843;7,0800;7,0485;6,97;7,07;
22-feb-10;7,0093;7,0771;7,0448;6,97;7,07;
23-feb-10;7,0699;7,0756;7,0728;6,97;7,07;
24-feb-10;7,0381;7,0746;7,0633;6,97;7,07;
25-feb-10;7,0123;7,0738;7,0584;6,97;7,07;
26-feb-10;7,0058;7,0760;7,0496;6,97;7,07;
27-feb-10;6,9673;7,0799;7,0429;6,97;7,07;
28-feb-10;6,9761;7,0800;7,0393;6,97;7,07;
1-mar-10;7,0075;7,0760;7,0500;6,97;7,07;
2-mar-10;7,0083;7,0758;7,0488;6,97;7,07;
3-mar-10;7,0484;7,0759;7,0643;6,97;7,07;
4-mar-10;7,0074;7,0757;7,0434;6,97;7,07;
5-mar-10;7,0232;7,0764;7,0506;6,97;7,07;
6-mar-10;7,0159;7,0790;7,0518;6,97;7,07;
7-mar-10;6,9873;7,0800;7,0392;6,97;7,07;
8-mar-10;7,0288;7,0768;7,0580;6,97;7,07;
9-mar-10;7,0333;7,0759;7,0563;6,97;7,07;
10-mar-10;7,0342;7,0755;7,0594;6,97;7,07;
11-mar-10;7,0320;7,0755;7,0565;6,97;7,07;
12-mar-10;7,0238;7,0773;7,0501;6,97;7,07;
13-mar-10;7,0225;7,0796;7,0494;6,97;7,07;
14-mar-10;6,9764;7,0800;7,0465;6,97;7,07;
15-mar-10;7,0229;7,0730;7,0499;6,97;7,07;
16-mar-10;7,0687;7,0746;7,0711;6,97;7,07;
17-mar-10;7,0369;7,0757;7,0562;6,97;7,07;
18-mar-10;7,0415;7,0744;7,0611;6,97;7,07;
19-mar-10;7,0217;7,0754;7,0536;6,97;7,07;
20-mar-10;7,0217;7,0792;7,0472;6,97;7,07;
21-mar-10;6,9806;7,0800;7,0190;6,97;7,07;
22-mar-10;7,0144;7,0746;7,0589;6,97;7,07;
23-mar-10;7,0498;7,0721;7,0606;6,97;7,07;
24-mar-10;7,0678;7,0747;7,0717;6,97;7,07;
25-mar-10;7,0519;7,0764;7,0656;6,97;7,07;
26-mar-10;7,0280;7,0759;7,0550;6,97;7,07;
27-mar-10;7,0259;7,0793;7,0466;6,97;7,07;
28-mar-10;6,9823;7,0800;7,0342;6,97;7,07;
29-mar-10;7,0223;7,0746;7,0523;6,97;7,07;
30-mar-10;7,0215;7,0741;7,0568;6,97;7,07;
31-mar-10;7,0191;7,0732;7,0541;6,97;7,07;
1-abr-10;7,0138;7,0766;7,0426;6,97;7,07;
2-abr-10;7,0151;7,0800;7,0300;6,97;7,07;
3-abr-10;7,0105;7,0798;7,0451;6,97;7,07;
4-abr-10;7,0200;7,0800;7,0205;6,97;7,07;
5-abr-10;7,0367;7,0640;7,0549;6,97;7,07;
6-abr-10;7,0230;7,0698;7,0501;6,97;7,07;
7-abr-10;7,0421;7,0670;7,0557;6,97;7,07;
8-abr-10;7,0378;7,0700;7,0540;6,97;7,07;
9-abr-10;7,0209;7,0619;7,0440;6,97;7,07;
10-abr-10;7,0156;7,0795;7,0492;6,97;7,07;
11-abr-10;6,9806;7,0800;7,0486;6,97;7,07;
12-abr-10;7,0192;7,0647;7,0476;6,97;7,07;
13-abr-10;7,0152;7,0716;7,0534;6,97;7,07;
14-abr-10;7,0402;7,0684;7,0529;6,97;7,07;
15-abr-10;7,0648;7,0729;7,0686;6,97;7,07;
16-abr-10;7,0232;7,0744;7,0498;6,97;7,07;
17-abr-10;7,0234;7,0785;7,0481;6,97;7,07;
18-abr-10;6,9857;7,0800;7,0407;6,97;7,07;
19-abr-10;7,0351;7,0564;7,0470;6,97;7,07;
20-abr-10;7,0269;7,0727;7,0566;6,97;7,07;
21-abr-10;7,0330;7,0730;7,0524;6,97;7,07;
22-abr-10;7,0200;7,0729;7,0522;6,97;7,07;
23-abr-10;7,0493;7,0727;7,0632;6,97;7,07;
24-abr-10;7,0118;7,0773;7,0448;6,97;7,07;
25-abr-10;6,9948;7,0800;7,0352;6,97;7,07;
26-abr-10;7,0343;7,0719;7,0574;6,97;7,07;
27-abr-10;7,0148;7,0737;7,0518;6,97;7,07;
28-abr-10;7,0318;7,0754;7,0560;6,97;7,07;
29-abr-10;7,0258;7,0648;7,0422;6,97;7,07;
30-abr-10;7,0124;7,0756;7,0414;6,97;7,07;
1-may-10;6,9864;7,0800;7,0176;6,97;7,07;
2-may-10;6,9820;7,0800;7,0306;6,97;7,07;
3-may-10;7,0240;7,0745;7,0466;6,97;7,07;
4-may-10;7,0182;7,0748;7,0543;6,97;7,07;
5-may-10;7,0341;7,0725;7,0552;6,97;7,07;
6-may-10;7,0295;7,0721;7,0529;6,97;7,07;
7-may-10;7,0563;7,0748;7,0664;6,97;7,07;
8-may-10;7,0238;7,0759;7,0463;6,97;7,07;
9-may-10;6,9757;7,0800;7,0427;6,97;7,07;
10-may-10;7,0002;7,0730;7,0435;6,97;7,07;
11-may-10;7,0209;7,0752;7,0541;6,97;7,07;
12-may-10;7,0378;7,0679;7,0547;6,97;7,07;
13-may-10;7,0468;7,0727;7,0601;6,97;7,07;
14-may-10;7,0255;7,0737;7,0553;6,97;7,07;
15-may-10;7,0322;7,0755;7,0558;6,97;7,07;
16-may-10;6,9879;7,0800;7,0479;6,97;7,07;
17-may-10;7,0397;7,0725;7,0590;6,97;7,07;
18-may-10;7,0228;7,0709;7,0522;6,97;7,07;
19-may-10;7,0385;7,0736;7,0569;6,97;7,07;
20-may-10;7,0311;7,0710;7,0542;6,97;7,07;
21-may-10;7,0146;7,0738;7,0516;6,97;7,07;
22-may-10;7,0025;7,0753;7,0399;6,97;7,07;
23-may-10;6,9836;7,0800;7,0235;6,97;7,07;
24-may-10;7,0173;7,0687;7,0505;6,97;7,07;
25-may-10;7,0285;7,0693;7,0523;6,97;7,07;
26-may-10;7,0654;7,0756;7,0692;6,97;7,07;
27-may-10;7,0159;7,0750;7,0519;6,97;7,07;
28-may-10;7,0212;7,0718;7,0523;6,97;7,07;
29-may-10;7,0351;7,0781;7,0517;6,97;7,07;
30-may-10;6,9887;7,0799;7,0294;6,97;7,07;
31-may-10;7,0130;7,0756;7,0459;6,97;7,07;
1-jun-10;7,0310;7,0749;7,0568;6,97;7,07;
2-jun-10;7,0254;7,0745;7,0568;6,97;7,07;
3-jun-10;6,9791;7,0800;7,0161;6,97;7,07;
4-jun-10;7,0096;7,0763;7,0455;6,97;7,07;
5-jun-10;7,0195;7,0774;7,0495;6,97;7,07;
6-jun-10;6,9824;7,0800;7,0365;6,97;7,07;
7-jun-10;7,0263;7,0734;7,0524;6,97;7,07;
8-jun-10;7,0261;7,0738;7,0558;6,97;7,07;
9-jun-10;7,0151;7,0745;7,0549;6,97;7,07;
10-jun-10;7,0222;7,0753;7,0523;6,97;7,07;
11-jun-10;7,0274;7,0746;7,0594;6,97;7,07;
12-jun-10;7,0286;7,0776;7,0539;6,97;7,07;
13-jun-10;6,9800;7,0800;7,0415;6,97;7,07;
14-jun-10;7,0496;7,0737;7,0632;6,97;7,07;
15-jun-10;7,0353;7,0733;7,0590;6,97;7,07;
16-jun-10;7,0263;7,0740;7,0545;6,97;7,07;
17-jun-10;6,9899;7,0740;7,0241;6,97;7,07;
18-jun-10;7,0277;7,0748;7,0526;6,97;7,07;
19-jun-10;7,0392;7,0761;7,0535;6,97;7,07;
20-jun-10;6,9838;7,0800;7,0326;6,97;7,07;
21-jun-10;6,9882;7,0800;7,0508;6,97;7,07;
22-jun-10;7,0216;7,0747;7,0511;6,97;7,07;
23-jun-10;7,0678;7,0743;7,0709;6,97;7,07;
24-jun-10;7,0377;7,0735;7,0594;6,97;7,07;
25-jun-10;7,0174;7,0726;7,0523;6,97;7,07;
26-jun-10;7,0289;7,0782;7,0531;6,97;7,07;
27-jun-10;6,9868;7,0800;7,0292;6,97;7,07;
28-jun-10;7,0673;7,0719;7,0697;6,97;7,07;
29-jun-10;7,0516;7,0739;7,0625;6,97;7,07;
30-jun-10;7,0167;7,0748;7,0521;6,97;7,07;
1-jul-10;7,0370;7,0704;7,0565;6,97;7,07;
2-jul-10;7,0228;7,0727;7,0516;6,97;7,07;
3-jul-10;7,0422;7,0767;7,0558;6,97;7,07;
4-jul-10;6,9803;7,0800;7,0485;6,97;7,07;
5-jul-10;7,0201;7,0685;7,0487;6,97;7,07;
6-jul-10;7,0292;7,0666;7,0506;6,97;7,07;
7-jul-10;7,0331;7,0684;7,0533;6,97;7,07;
8-jul-10;7,0532;7,0680;7,0602;6,97;7,07;
9-jul-10;7,0490;7,0726;7,0608;6,97;7,07;
10-jul-10;7,0311;7,0770;7,0491;6,97;7,07;
11-jul-10;7,0184;7,0775;7,0319;6,97;7,07;
12-jul-10;7,0488;7,0720;7,0602;6,97;7,07;
13-jul-10;7,0542;7,0743;7,0625;6,97;7,07;
14-jul-10;7,0291;7,0739;7,0528;6,97;7,07;
15-jul-10;7,0498;7,0695;7,0628;6,97;7,07;
16-jul-10;7,0206;7,0750;7,0487;6,97;7,07;
17-jul-10;7,0271;7,0776;7,0473;6,97;7,07;
18-jul-10;6,9660;7,0671;6,9826;6,97;7,07;
19-jul-10;7,0324;7,0713;7,0533;6,97;7,07;
20-jul-10;7,0288;7,0665;7,0510;6,97;7,07;
21-jul-10;7,0481;7,0747;7,0620;6,97;7,07;
22-jul-10;7,0260;7,0744;7,0594;6,97;7,07;
23-jul-10;7,0284;7,0735;7,0511;6,97;7,07;
24-jul-10;7,0268;7,0759;7,0488;6,97;7,07;
25-jul-10;6,9693;7,0722;6,9935;6,97;7,07;
26-jul-10;7,0455;7,0674;7,0576;6,97;7,07;
27-jul-10;7,0243;7,0651;7,0474;6,97;7,07;
28-jul-10;7,0183;7,0728;7,0369;6,97;7,07;
29-jul-10;7,0283;7,0733;7,0549;6,97;7,07;
30-jul-10;7,0303;7,0718;7,0540;6,97;7,07;
31-jul-10;6,9772;7,0768;7,0369;6,97;7,07;
1-ago-10;6,9684;7,0747;7,0096;6,97;7,07;
2-ago-10;7,0256;7,0717;7,0496;6,97;7,07;
3-ago-10;7,0251;7,0718;7,0519;6,97;7,07;
4-ago-10;7,0312;7,0701;7,0543;6,97;7,07;
5-ago-10;7,0317;7,0710;7,0551;6,97;7,07;
6-ago-10;6,9891;7,0580;6,9982;6,97;7,07;
7-ago-10;7,0307;7,0770;7,0507;6,97;7,07;
8-ago-10;6,9724;7,0767;7,0098;6,97;7,07;
9-ago-10;7,0269;7,0701;7,0505;6,97;7,07;
10-ago-10;7,0329;7,0738;7,0550;6,97;7,07;
11-ago-10;7,0330;7,0735;7,0534;6,97;7,07;
12-ago-10;7,0211;7,0750;7,0515;6,97;7,07;
13-ago-10;7,0257;7,0738;7,0553;6,97;7,07;
14-ago-10;7,0287;7,0774;7,0532;6,97;7,07;
15-ago-10;6,9703;7,0690;7,0089;6,97;7,07;
16-ago-10;7,0276;7,0676;7,0485;6,97;7,07;
17-ago-10;7,0318;7,0730;7,0574;6,97;7,07;
18-ago-10;7,0306;7,0727;7,0541;6,97;7,07;
19-ago-10;7,0335;7,0731;7,0566;6,97;7,07;
20-ago-10;7,0286;7,0746;7,0523;6,97;7,07;
21-ago-10;7,0361;7,0773;7,0522;6,97;7,07;
22-ago-10;6,9691;7,0775;7,0081;6,97;7,07;
23-ago-10;7,0413;7,0715;7,0610;6,97;7,07;
24-ago-10;7,0259;7,0727;7,0511;6,97;7,07;
25-ago-10;7,0385;7,0728;7,0550;6,97;7,07;
26-ago-10;7,0390;7,0745;7,0610;6,97;7,07;
27-ago-10;7,0287;7,0697;7,0518;6,97;7,07;
28-ago-10;7,0299;7,0775;7,0488;6,97;7,07;
29-ago-10;7,0065;7,0728;7,0178;6,97;7,07;
30-ago-10;7,0334;7,0711;7,0526;6,97;7,07;
31-ago-10;7,0357;7,0732;7,0577;6,97;7,07;
1-sep-10;7,0499;7,0708;7,0599;6,97;7,07;
2-sep-10;7,0388;7,0697;7,0562;6,97;7,07;
3-sep-10;7,0204;7,0704;7,0467;6,97;7,07;
4-sep-10;7,0359;7,0779;7,0523;6,97;7,07;
5-sep-10;6,9687;7,0748;7,0176;6,97;7,07;
6-sep-10;7,0342;7,0712;7,0523;6,97;7,07;
7-sep-10;7,0304;7,0710;7,0535;6,97;7,07;
8-sep-10;7,0381;7,0717;7,0559;6,97;7,07;
9-sep-10;7,0380;7,0660;7,0521;6,97;7,07;
10-sep-10;7,0365;7,0693;7,0527;6,97;7,07;
11-sep-10;7,0340;7,0768;7,0507;6,97;7,07;
12-sep-10;6,9694;7,0772;7,0038;6,97;7,07;
13-sep-10;7,0372;7,0686;7,0528;6,97;7,07;
14-sep-10;7,0329;7,0610;7,0477;6,97;7,07;
15-sep-10;7,0152;7,0599;7,0358;6,97;7,07;
16-sep-10;7,0259;7,0711;7,0532;6,97;7,07;
17-sep-10;7,0145;7,0701;7,0417;6,97;7,07;
18-sep-10;7,0120;7,0761;7,0425;6,97;7,07;
19-sep-10;6,9707;7,0781;7,0181;6,97;7,07;
20-sep-10;7,0375;7,0704;7,0561;6,97;7,07;
21-sep-10;7,0346;7,0659;7,0535;6,97;7,07;
22-sep-10;7,0492;7,0691;7,0572;6,97;7,07;
23-sep-10;7,0322;7,0695;7,0527;6,97;7,07;
24-sep-10;7,0356;7,0748;7,0514;6,97;7,07;
25-sep-10;7,0294;7,0763;7,0466;6,97;7,07;
26-sep-10;6,9694;7,0736;6,9948;6,97;7,07;
27-sep-10;7,0489;7,0698;7,0578;6,97;7,07;
28-sep-10;7,0338;7,0711;7,0573;6,97;7,07;
29-sep-10;7,0437;7,0732;7,0647;6,97;7,07;
30-sep-10;7,0275;7,0716;7,0560;6,97;7,07;
1-oct-10;7,0272;7,0700;7,0548;6,97;7,07;
2-oct-10;7,0315;7,0776;7,0496;6,97;7,07;
3-oct-10;6,9694;7,0776;7,0059;6,97;7,07;
4-oct-10;7,0332;7,0736;7,0541;6,97;7,07;
5-oct-10;7,0302;7,0681;7,0497;6,97;7,07;
6-oct-10;7,0330;7,0726;7,0559;6,97;7,07;
7-oct-10;7,0361;7,0661;7,0511;6,97;7,07;
8-oct-10;7,0321;7,0710;7,0557;6,97;7,07;
9-oct-10;7,0347;7,0777;7,0525;6,97;7,07;
10-oct-10;6,9683;7,0772;7,0163;6,97;7,07;
11-oct-10;7,0277;7,0719;7,0528;6,97;7,07;
12-oct-10;7,0442;7,0699;7,0563;6,97;7,07;
13-oct-10;7,0553;7,0739;7,0617;6,97;7,07;
14-oct-10;7,0339;7,0696;7,0531;6,97;7,07;
15-oct-10;7,0185;7,0701;7,0450;6,97;7,07;
16-oct-10;7,0243;7,0773;7,0470;6,97;7,07;
17-oct-10;6,9686;7,0743;7,0191;6,97;7,07;
18-oct-10;7,0357;7,0666;7,0477;6,97;7,07;
19-oct-10;7,0406;7,0715;7,0522;6,97;7,07;
20-oct-10;7,0359;7,0727;7,0597;6,97;7,07;
21-oct-10;7,0354;7,0700;7,0551;6,97;7,07;
22-oct-10;7,0503;7,0712;7,0547;6,97;7,07;
23-oct-10;7,0264;7,0770;7,0496;6,97;7,07;
24-oct-10;6,9699;7,0634;6,9936;6,97;7,07;
25-oct-10;7,0281;7,0625;7,0454;6,97;7,07;
26-oct-10;7,0416;7,0714;7,0578;6,97;7,07;
27-oct-10;7,0450;7,0752;7,0587;6,97;7,07;
28-oct-10;7,0462;7,0711;7,0621;6,97;7,07;
29-oct-10;7,0130;7,0716;7,0509;6,97;7,07;
30-oct-10;7,0071;7,0769;7,0463;6,97;7,07;
31-oct-10;6,9684;7,0737;7,0013;6,97;7,07;
1-nov-10;7,0266;7,0734;7,0524;6,97;7,07;
2-nov-10;6,9662;7,0717;6,9950;6,97;7,07;
3-nov-10;7,0233;7,0695;7,0524;6,97;7,07;
4-nov-10;7,0273;7,0707;7,0536;6,97;7,07;
5-nov-10;7,0314;7,0722;7,0542;6,97;7,07;
6-nov-10;7,0243;7,0778;7,0478;6,97;7,07;
7-nov-10;6,9688;7,0740;7,0118;6,97;7,07;
8-nov-10;7,0384;7,0644;7,0494;6,97;7,07;
9-nov-10;7,0286;7,0706;7,0502;6,97;7,07;
10-nov-10;7,0290;7,0701;7,0508;6,97;7,07;
11-nov-10;7,0033;7,0718;7,0384;6,97;7,07;
12-nov-10;7,0306;7,0734;7,0536;6,97;7,07;
13-nov-10;7,0286;7,0770;7,0486;6,97;7,07;
14-nov-10;6,9683;7,0769;7,0043;6,97;7,07;
15-nov-10;7,0242;7,0688;7,0471;6,97;7,07;
16-nov-10;7,0285;7,0726;7,0531;6,97;7,07;
17-nov-10;7,0271;7,0724;7,0475;6,97;7,07;
18-nov-10;7,0195;7,0679;7,0417;6,97;7,07;
19-nov-10;7,0265;7,0643;7,0420;6,97;7,07;
20-nov-10;7,0074;7,0778;7,0300;6,97;7,07;
21-nov-10;6,9707;7,0749;6,9980;6,97;7,07;
22-nov-10;7,0067;7,0430;7,0259;6,97;7,07;
23-nov-10;7,0087;7,0551;7,0263;6,97;7,07;
24-nov-10;6,9830;7,0653;7,0127;6,96;7,06;
25-nov-10;6,9658;7,0587;6,9996;6,96;7,06;
26-nov-10;6,9635;7,0597;6,9891;6,96;7,06;
27-nov-10;6,9634;7,0656;6,9789;6,96;7,06;
28-nov-10;6,9552;7,0560;6,9731;6,96;7,06;
29-nov-10;6,9601;7,0587;6,9881;6,96;7,06;
30-nov-10;6,9607;7,0536;6,9990;6,96;7,06;
1-dic-10;6,9579;7,0494;6,9891;6,96;7,06;
2-dic-10;6,9562;7,0592;6,9899;6,96;7,06;
3-dic-10;6,9440;7,0312;6,9688;6,95;7,05;
4-dic-10;6,9461;7,0529;6,9656;6,95;7,05;
5-dic-10;6,9446;7,0388;6,9724;6,95;7,05;
6-dic-10;6,9438;7,0275;6,9687;6,95;7,05;
7-dic-10;6,9477;7,0293;6,9675;6,95;7,05;
8-dic-10;6,9446;7,0463;6,9834;6,95;7,05;
9-dic-10;6,9436;7,0348;6,9688;6,95;7,05;
10-dic-10;6,9443;7,0499;6,9762;6,95;7,05;
11-dic-10;6,9479;7,0480;6,9760;6,95;7,05;
12-dic-10;6,9425;7,0439;6,9684;6,95;7,05;
13-dic-10;6,9444;7,0433;6,9788;6,95;7,05;
14-dic-10;6,9441;7,0391;6,9790;6,95;7,05;
15-dic-10;6,9449;7,0407;6,9885;6,95;7,05;
16-dic-10;6,9412;7,0442;6,9483;6,95;7,05;
17-dic-10;6,9426;7,0446;6,9831;6,95;7,05;
18-dic-10;6,9417;7,0460;6,9759;6,95;7,05;
19-dic-10;6,9443;7,0490;6,9658;6,95;7,05;
20-dic-10;6,9418;7,0318;6,9891;6,95;7,05;
21-dic-10;6,9446;7,0192;6,9753;6,95;7,05;
22-dic-10;6,9342;7,0269;6,9686;6,94;7,04;
23-dic-10;6,9325;7,0304;6,9697;6,94;7,04;
24-dic-10;6,9323;7,0236;6,9692;6,94;7,04;
25-dic-10;6,9348;7,0240;6,9601;6,94;7,04;
26-dic-10;6,9354;7,0448;6,9724;6,94;7,04;
27-dic-10;6,9319;7,0303;6,9928;6,94;7,04;
28-dic-10;6,9322;7,0117;6,9802;6,94;7,04;
29-dic-10;6,9331;7,0391;6,9599;6,94;7,04;
30-dic-10;6,9348;7,0228;6,9706;6,94;7,04;
31-dic-10;6,9339;7,0366;6,9832;6,94;7,04;
1-ene-11;6,9304;7,0470;6,9543;6,94;7,04;
2-ene-11;6,9300;7,0458;6,9784;6,94;7,04;
3-ene-11;6,9319;7,0205;6,9939;6,94;7,04;
4-ene-11;6,9324;7,0192;6,9880;6,94;7,04;
5-ene-11;6,9345;7,0244;6,9812;6,94;7,04;
6-ene-11;6,9329;7,0229;6,9823;6,94;7,04;
7-ene-11;6,9319;7,0257;6,9750;6,94;7,04;
8-ene-11;6,9313;7,0397;6,9817;6,94;7,04;
9-ene-11;6,9300;7,0378;6,9652;6,94;7,04;
10-ene-11;6,9387;7,0182;6,9797;6,94;7,04;
11-ene-11;6,9328;7,0231;6,9883;6,94;7,04;
12-ene-11;6,9315;7,0296;6,9936;6,94;7,04;
13-ene-11;6,9350;7,0249;6,9939;6,94;7,04;
14-ene-11;6,9735;7,0333;7,0001;6,94;7,04;
15-ene-11;6,9349;7,0430;6,9918;6,94;7,04;
16-ene-11;6,9313;7,0438;6,9702;6,94;7,04;
17-ene-11;6,9434;7,0292;6,9967;6,94;7,04;
18-ene-11;6,9457;7,0238;6,9930;6,94;7,04;
19-ene-11;6,9644;7,0387;7,0023;6,94;7,04;
20-ene-11;6,9834;7,0392;7,0060;6,94;7,04;
21-ene-11;6,9501;7,0343;7,0147;6,94;7,04;
22-ene-11;6,9302;7,0432;6,9558;6,94;7,04;
23-ene-11;6,9318;7,0437;6,9654;6,94;7,04;
24-ene-11;7,0197;7,0406;7,0299;6,94;7,04;
25-ene-11;6,9762;7,0384;6,9998;6,94;7,04;
26-ene-11;7,0204;7,0394;7,0278;6,94;7,04;
27-ene-11;6,9565;7,0382;6,9957;6,94;7,04;
28-ene-11;6,9624;7,0378;7,0155;6,94;7,04;
29-ene-11;6,9531;7,0441;6,9973;6,94;7,04;
30-ene-11;6,9335;7,0404;6,9475;6,94;7,04;
31-ene-11;6,9579;7,0368;7,0020;6,94;7,04;
1-feb-11;6,9527;7,0409;7,0114;6,94;7,04;
2-feb-11;6,9634;7,0371;7,0095;6,94;7,04;
3-feb-11;7,0063;7,0402;7,0182;6,94;7,04;
4-feb-11;6,9737;7,0452;7,0112;6,94;7,04;
5-feb-11;6,9487;7,0376;6,9888;6,94;7,04;
6-feb-11;6,9202;7,0377;6,9544;6,94;7,04;
7-feb-11;6,9465;7,0284;6,9733;6,93;7,03;
8-feb-11;6,9569;7,0328;6,9974;6,93;7,03;
9-feb-11;6,9586;7,0334;7,0005;6,93;7,03;
10-feb-11;6,9586;7,0328;7,0053;6,93;7,03;
11-feb-11;6,9637;7,0315;7,0041;6,93;7,03;
12-feb-11;6,9620;7,0372;6,9964;6,93;7,03;
13-feb-11;6,9201;7,0364;6,9566;6,93;7,03;
14-feb-11;6,9574;7,0288;6,9985;6,93;7,03;
15-feb-11;6,9807;7,0223;6,9998;6,92;7,02;
16-feb-11;6,9724;7,0215;6,9954;6,92;7,02;
17-feb-11;6,9350;7,0196;6,9865;6,92;7,02;
18-feb-11;6,9586;7,0192;6,9953;6,92;7,02;
19-feb-11;6,9598;7,0276;6,9811;6,92;7,02;
20-feb-11;6,9325;7,0132;6,9794;6,92;7,02;
21-feb-11;6,9736;7,0180;6,9845;6,92;7,02;
22-feb-11;6,9660;7,0142;6,9920;6,92;7,02;
23-feb-11;6,9404;7,0138;6,9841;6,92;7,02;
24-feb-11;6,9483;6,9913;6,9737;6,92;7,02;
25-feb-11;6,9212;7,0263;6,9780;6,92;7,02;
26-feb-11;6,9111;7,0237;6,9373;6,92;7,02;
27-feb-11;6,9381;7,0141;6,9871;6,92;7,02;
28-feb-11;6,9402;7,0162;6,9882;6,92;7,02;
1-mar-11;6,9678;7,0149;6,9875;6,92;7,02;
2-mar-11;6,9525;7,0155;6,9885;6,92;7,02;
3-mar-11;6,9366;7,0142;6,9798;6,92;7,02;
4-mar-11;6,9147;7,0268;6,9790;6,92;7,02;
5-mar-11;6,9110;7,0233;6,9426;6,92;7,02;
6-mar-11;6,9128;7,0185;6,9394;6,92;7,02;
7-mar-11;6,9100;7,0227;6,9400;6,92;7,02;
8-mar-11;6,9110;7,0233;6,9426;6,92;7,02;
9-mar-11;6,9637;7,0164;6,9870;6,92;7,02;
10-mar-11;6,9612;7,0181;6,9857;6,92;7,02;
11-mar-11;6,9615;7,0194;6,9894;6,92;7,02;
12-mar-11;6,9184;7,0054;6,9569;6,92;7,02;
13-mar-11;6,8917;7,0019;6,9388;6,92;7,02;
14-mar-11;6,9072;6,9958;6,9553;6,92;7,02;
15-mar-11;6,9218;6,9987;6,9685;6,90;7,00;
16-mar-11;6,9075;6,9972;6,9575;6,90;7,00;
17-mar-11;6,9241;7,0010;6,9552;6,90;7,00;
18-mar-11;6,9283;6,9944;6,9580;6,90;7,00;
19-mar-11;6,9020;7,0060;6,9515;6,90;7,00;
20-mar-11;6,8901;7,0033;6,9255;6,90;7,00;
21-mar-11;6,9140;6,9970;6,9597;6,90;7,00;
22-mar-11;6,9290;6,9932;6,9608;6,90;7,00;
23-mar-11;6,9296;6,9802;6,9551;6,90;7,00;
24-mar-11;6,9199;6,9918;6,9564;6,90;7,00;
25-mar-11;6,9068;6,9976;6,9560;6,90;7,00;
26-mar-11;6,9106;7,0063;6,9498;6,90;7,00;
